ObjectID,GlobalID,Date,Location,Unlisted Location,Monitor Name,Vernal Pool Name or ID number,Optional - Water Level (in.),DO (mg/L),DO (% sat.),Conductivity (µS/cm),Salinity (ppt),Temp (C),Water Quality Notes,Optional - Comments,CreationDate,Creator,EditDate,Editor,x,y
76,bc4b7234-4edd-489c-800d-101d6ef691f3,1/19/2019 12:00:00 AM,storke_ranch,,Kelly Hildner,2007,11.75,0.39,4.1,618,0.4,17.4,,re-entered from Hydro + YSI survey,5/21/2019 3:40:29 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 3:42:36 PM,joannatang@umail.ucsb.edu_ucsb,0,0
77,cd0a549f-597e-4f56-8c70-051575ef66f4,1/19/2019 12:00:00 AM,storke_ranch,,Kelly Hildner,South,11.5,0.37,3.8,255.3,0.1,15.9,,re-entered from Hydro + YSI survey,5/21/2019 3:41:28 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 3:41:28 PM,joannatang@umail.ucsb.edu_ucsb,0,0
78,a2f149d3-a685-43dd-8fa3-16edaaa56aeb,1/19/2019 12:00:00 AM,storke_ranch,,Kelly Hildner,2017,12.5,0.3,3.1,223.9,0.1,18.2,,re-entered from Hydro + YSI survey,5/21/2019 3:43:41 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 3:43:41 PM,joannatang@umail.ucsb.edu_ucsb,0,0
79,61d7906b-2e68-48f8-82ef-cc5bd7eefa01,1/19/2019 12:00:00 AM,storke_ranch,,Joanna Tang,East,8.5,0.24,2.8,232.7,0.1,22,,re-entered from Hydro + YSI survey,5/21/2019 3:44:48 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 3:44:48 PM,joannatang@umail.ucsb.edu_ucsb,0,0
80,34b9b69d-a3c1-4abd-8f8f-0017c9d198d6,1/19/2019 12:00:00 AM,ncos,,Joanna Tang,3,12.5,0.21,2.3,199.5,0.1,18.4,Opaque,re-entered from Hydro + YSI survey,5/21/2019 3:45:50 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 3:45:50 PM,joannatang@umail.ucsb.edu_ucsb,0,0
81,5f3c2f5a-dad3-4482-832f-99d1f4096751,1/21/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,5,6,0.25,2.7,76.5,0,19.5,Not opaque,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/2019 3:47:23 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 3:48:05 PM,joannatang@umail.ucsb.edu_ucsb,0,0
82,79d33ee5-e73e-460f-8d1f-0ce59a686804,1/21/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,4,6,0.25,2.7,76.5,0,19.5,Not opaque,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/2019 3:49:00 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 3:49:00 PM,joannatang@umail.ucsb.edu_ucsb,0,0
83,d8b6094b-e02b-4b61-8257-d466543c7677,1/21/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,3,7,0.29,3.2,75.8,0,19.5,Not opaque,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/2019 3:49:52 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 3:49:52 PM,joannatang@umail.ucsb.edu_ucsb,0,0
84,ed0b9e17-fb9d-443e-848c-f45cfeda2716,1/21/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,8,3,0.29,3.2,88,0,20,Not opaque,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/2019 3:51:50 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 3:51:50 PM,joannatang@umail.ucsb.edu_ucsb,0,0
85,3bcd2bfe-782b-444f-8ae4-e8056432e42c,1/21/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,7,8.5,0.32,3.4,71.4,0,18.5,Not opaque,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/2019 3:52:43 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 3:52:43 PM,joannatang@umail.ucsb.edu_ucsb,0,0
86,91054f68-c167-4b7c-855d-df9166d7cd67,1/21/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,2,10,0.35,3.8,80.2,0,18.5,Not opaque,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/2019 3:53:36 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 3:53:36 PM,joannatang@umail.ucsb.edu_ucsb,0,0
87,9a1b14ff-53af-4196-84a9-bbddbf029a21,1/21/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,6,8,0.37,3.9,92.1,0.1,18.9,Not opaque,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/2019 3:54:25 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 3:54:25 PM,joannatang@umail.ucsb.edu_ucsb,0,0
88,1e285c06-3434-42de-8aff-ec8135ad6bba,1/21/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,U,7,0.41,4.4,68.6,0,19.2,Not opaque,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/2019 3:55:20 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 3:55:20 PM,joannatang@umail.ucsb.edu_ucsb,0,0
89,ea4b8c0f-fa38-403e-8f09-7433676772ac,1/21/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,W,11,0.45,47,141.9,0.1,17.4,Not opaque,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/2019 3:56:09 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 3:56:09 PM,joannatang@umail.ucsb.edu_ucsb,0,0
90,2a9267a0-e844-4075-809b-080245b8846b,1/21/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,T,2.5,0.41,4.5,122.5,0,20.6,Not opaque,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/2019 3:57:04 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 3:57:04 PM,joannatang@umail.ucsb.edu_ucsb,0,0
91,baaae4a7-82d0-4a93-84ca-20f93a42092a,1/21/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,G,7.5,0.46,4.9,168,0.1,18,Green scum,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/2019 3:57:52 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 3:57:52 PM,joannatang@umail.ucsb.edu_ucsb,0,0
92,20cf415c-3e45-465a-80f5-527b761f145c,1/21/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,M,8.5,0.44,4.6,76.2,0,18.3,Not opaque,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/2019 3:58:41 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 3:58:41 PM,joannatang@umail.ucsb.edu_ucsb,0,0
93,cab59477-210c-440c-894c-58a9ff9ebeee,1/21/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,H,6.5,0.47,5,144.6,0.1,17.6,Slightly opaque,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/2019 3:59:31 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 3:59:31 PM,joannatang@umail.ucsb.edu_ucsb,0,0
94,762d9b2c-4af5-4ded-8121-c1111cb0294d,1/21/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,S,3.5,0.4,4.6,185.5,0.1,20.1,Not opaque,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/2019 4:00:14 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 4:00:14 PM,joannatang@umail.ucsb.edu_ucsb,0,0
95,df468013-521c-4283-8b00-a1b667cf684f,1/21/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,F,6,0.43,4.5,133.2,0.1,18,Not opaque,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/2019 4:00:51 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 4:00:51 PM,joannatang@umail.ucsb.edu_ucsb,0,0
96,0871f250-6f3d-4996-8909-eab49e415f1d,1/21/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,E,7,0.31,3.4,142,0.1,20.2,Not opaque,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/2019 4:01:30 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 4:01:30 PM,joannatang@umail.ucsb.edu_ucsb,0,0
97,e0716b8e-822e-44d4-881e-fceaae0b16d3,1/21/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,V,4.5,0.37,4,172.1,0.1,19.5,Not opaque,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/2019 4:02:24 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 4:02:24 PM,joannatang@umail.ucsb.edu_ucsb,0,0
98,b823af9b-8d8e-4044-86ac-9510a55822e2,1/19/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,N,5,0.43,4.7,122.4,0.1,19.4,Not opaque,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/2019 4:03:15 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 4:03:15 PM,joannatang@umail.ucsb.edu_ucsb,0,0
99,11e2e4b0-3d0d-488b-8a8a-96cf190d6e3c,1/23/2019 12:00:00 AM,north_parcel,,Catherine Reilly,16,16,0.8,7.2,289.5,2,10.2,Not opaque,surveyed in morning; re-entered from Hydro + YSI survey,5/21/2019 4:04:34 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 4:04:34 PM,joannatang@umail.ucsb.edu_ucsb,0,0
100,d2fbaffe-b811-47e8-8d4a-32a5e7ef77b0,1/23/2019 12:00:00 AM,north_parcel,,Catherine Reilly,14,13.75,0.79,7,172.2,0.1,10.2,Opaque,surveyed in morning; re-entered from Hydro + YSI survey,5/21/2019 4:05:23 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 4:06:30 PM,joannatang@umail.ucsb.edu_ucsb,0,0
101,4044e506-4516-4cd8-8985-433cf781a406,1/23/2019 12:00:00 AM,north_parcel,,Catherine Reilly,3,12.5,0.88,7.6,178.1,0.1,8.8,Opaque,surveyed in morning; re-entered from Hydro + YSI survey,5/21/2019 4:06:07 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 4:06:07 PM,joannatang@umail.ucsb.edu_ucsb,0,0
102,7268f369-fce2-4e09-867e-586db8939270,1/23/2019 12:00:00 AM,north_parcel,,Joanna Tang,4,8,0.9,7.7,189.8,0.1,8.5,Slightly opaque,surveyed in morning; re-entered from Hydro + YSI survey,5/21/2019 4:07:26 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 4:07:26 PM,joannatang@umail.ucsb.edu_ucsb,0,0
103,5db81fff-af30-4c24-806b-98caa55ae281,1/23/2019 12:00:00 AM,north_parcel,,Catherine Reilly,7,18,0.92,8.2,57.7,0,10.2,Slightly opaque,surveyed in morning; re-entered from Hydro + YSI survey,5/21/2019 4:08:21 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 4:08:21 PM,joannatang@umail.ucsb.edu_ucsb,0,0
104,e9260d17-32dd-4ec5-8f22-c5cb16cea9c4,1/23/2019 12:00:00 AM,north_parcel,,Catherine Reilly,6,13,0.89,7.7,138.3,0.1,9.1,Opaque,surveyed in morning; re-entered from Hydro + YSI survey,5/21/2019 4:09:11 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 4:09:11 PM,joannatang@umail.ucsb.edu_ucsb,0,0
105,4690e1af-a1da-4877-840a-d9016647d551,1/24/2019 12:00:00 AM,storke_ranch,,Joanna Tang,North,10.5,,,,,,,re-entered from Hydro + YSI survey,5/21/2019 4:10:17 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 4:10:17 PM,joannatang@umail.ucsb.edu_ucsb,0,0
106,29d22901-c8c2-4802-82d5-2c8cadfdb99d,1/24/2019 12:00:00 AM,storke_ranch,,Joanna Tang,South,9.5,7.87,72.4,233,0.2,11.6,Not opaque, re-entered from Hydro + YSI survey,5/21/2019 4:11:25 PM,joannatang@umail.ucsb.edu_ucsb,5/21/2019 4:11:25 PM,joannatang@umail.ucsb.edu_ucsb,0,0
107,096d0220-4b70-4124-819b-d025b33a1bb1,1/24/2019 12:00:00 AM,storke_ranch,,Joanna Tang,Main,13,1.12,11.1,456,0.3,15,Not opaque,re-entered from Hydro & YSI survey,5/22/2019 3:30:36 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 3:30:36 AM,joannatang@umail.ucsb.edu_ucsb,0,0
108,1d3f413f-926f-46a9-8a9f-c85db9a74c20,1/24/2019 12:00:00 AM,storke_ranch,,Joanna Tang,East,5.5,9.9,101.4,248.9,0.1,16.5,Not opaque,re-entered from Hydro + YSI survey,5/22/2019 3:31:44 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 3:31:44 AM,joannatang@umail.ucsb.edu_ucsb,0,0
109,92f40ed3-1854-4762-8da5-f80cb3f24c3d,1/24/2019 12:00:00 AM,storke_ranch,,Joanna Tang,2007,9.75,6.17,60.8,851,0.5,14.5,Not opaque,re-entered from Hydro + YSI survey,5/22/2019 3:33:03 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 3:33:03 AM,joannatang@umail.ucsb.edu_ucsb,0,0
110,60437726-e7c8-4d0d-880c-3b4cf523279f,1/24/2019 12:00:00 AM,sierra_madre,,Joanna Tang,Central pool,22,5.17,51.4,198.6,0.1,15.2,Slightly opaque,re-entered from Hydro + YSI survey,5/22/2019 3:34:01 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 3:34:01 AM,joannatang@umail.ucsb.edu_ucsb,0,0
111,ab34ef90-9e90-488d-8ad9-04784d361a24,1/24/2019 12:00:00 AM,west_campus,,Joanna Tang,1,7.75,6.37,63.8,104.1,0.1,15.2,Slightly opaque,re-entered from Hydro + YSI survey,5/22/2019 3:35:01 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 3:35:01 AM,joannatang@umail.ucsb.edu_ucsb,0,0
112,f9953a62-2928-4cfd-82e3-09fd5a4e4a96,1/25/2019 12:00:00 AM,west_campus,,Joanna Tang,2,5,9.11,90.8,49.3,0,15.2,Not opaque,re-entered from Hydro + YSI survey,5/22/2019 3:39:14 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 3:39:14 AM,joannatang@umail.ucsb.edu_ucsb,0,0
113,ebb46693-23a0-4a84-828f-de8de6709d41,1/24/2019 12:00:00 AM,west_campus,,Joanna Tang,4,8.5,5.88,52.5,138.1,0.1,10.3,Not opaque,re-entered from Hydro + YSI survey,5/22/2019 3:40:33 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 3:40:33 AM,joannatang@umail.ucsb.edu_ucsb,0,0
114,1c7aad52-c6f5-4ca2-884c-9866c3b13b1c,1/24/2019 12:00:00 AM,west_campus,,Joanna Tang,6,11.25,6.28,58.4,166.4,0.1,12.1,Opaque,re-entered from Hydro + YSI survey,5/22/2019 3:42:58 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 3:42:58 AM,joannatang@umail.ucsb.edu_ucsb,0,0
115,2e101f7a-d887-4195-8d81-a1abc1cb91ab,1/24/2019 12:00:00 AM,west_campus,,Joanna Tang,11,5,6.57,61.6,182.9,0.1,12.4,Opaque,re-entered from Hydro + YSI survey,5/22/2019 3:43:53 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 3:43:53 AM,joannatang@umail.ucsb.edu_ucsb,0,0
116,4cce6db4-bb00-435b-8a39-8bbc234224cd,1/24/2019 12:00:00 AM,west_campus,,Joanna Tang,9,6.5,2.07,19.1,373.6,0.2,11.7,Not opaque,re-entered from Hydro + YSI survey,5/22/2019 3:45:51 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 3:45:51 AM,joannatang@umail.ucsb.edu_ucsb,0,0
117,d66984a1-4d21-4bf5-85c5-0283596d8d3c,1/24/2019 12:00:00 AM,west_campus,,Joanna Tang,9,6,3.86,35.6,284.2,0.2,11.6,Not opaque,re-entered from Hydro + YSI survey,5/22/2019 3:46:48 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 3:46:48 AM,joannatang@umail.ucsb.edu_ucsb,0,0
118,927ae0c2-5418-4751-845e-5e033ae0be50,1/23/2019 12:00:00 AM,north_parcel,,Catherine Reilly,19,12.5,0.81,7.1,420.6,0.3,9.4,Not opaque,re-entered from Hydro + YSI survey,5/22/2019 3:50:17 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 3:50:17 AM,joannatang@umail.ucsb.edu_ucsb,0,0
119,34e6d288-1860-4d23-872b-2f957b9bbf48,1/24/2019 12:00:00 AM,storke_ranch,,Joanna Tang,2017,10,12.49,117.9,201.7,0.1,12.7,Not opaque,re-entered from Hydro + YSI survey,5/22/2019 3:52:18 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 3:52:18 AM,joannatang@umail.ucsb.edu_ucsb,0,0
120,1e4f0ecb-96bf-43bb-85c5-e255da46d004,1/21/2019 12:00:00 AM,copr,,Joanna Tang,Ferren's Folly,,6.54,58,85.9,0.1,10,Not opaque,re-entered from Hydro + YSI survey,5/22/2019 3:54:00 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 3:54:00 AM,joannatang@umail.ucsb.edu_ucsb,0,0
121,b56e3c23-d0f3-4a19-8ec0-4c04f043d335,1/21/2019 12:00:00 AM,manzanita_village,,Joanna Tang,Santa Catalina,,0.13,1.4,162.3,0.1,19.3,Not opaque,measurements taken in the afternoon; re-entered from Hydro + YSI survey,5/22/2019 3:56:30 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 3:56:30 AM,joannatang@umail.ucsb.edu_ucsb,0,0
122,07b8f337-50ee-4ba7-8d49-d9dd6dde54c4,1/21/2019 12:00:00 AM,manzanita_village,,Joanna Tang,Santa Barbara,,0.31,1.4,283.3,0.2,19.5,Not opaque,measurements taken in the afternoon; re-entered from Hydro + YSI survey,5/22/2019 3:57:21 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 3:57:21 AM,joannatang@umail.ucsb.edu_ucsb,0,0
123,0e2f9a85-b6ff-4185-87b3-a2f16d8d2d07,1/21/2019 12:00:00 AM,manzanita_village,,Joanna Tang,Santa Cruz,,0.16,1.7,222.2,0.1,19.7,Not opaque,measurements taken in the afternoon; re-entered from Hydro + YSI survey,5/22/2019 3:58:44 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 3:58:44 AM,joannatang@umail.ucsb.edu_ucsb,0,0
124,7936039f-cb86-4164-84a8-2b34f546677e,1/21/2019 12:00:00 AM,manzanita_village,,Joanna Tang,Santa Rosa,,0.18,1.9,172.2,0.1,19.5,Not opaque,measurements taken in the afternoon; re-entered from Hydro + YSI survey,5/22/2019 3:59:17 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 3:59:17 AM,joannatang@umail.ucsb.edu_ucsb,0,0
125,665b0a70-3317-4b64-85ef-51802e1b3b7a,1/21/2019 12:00:00 AM,manzanita_village,,Joanna Tang,San Miguel,,0.25,2.7,179.2,0.1,19.4,Not opaque,measurements taken in the afternoon; re-entered from Hydro + YSI survey,5/22/2019 4:00:04 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:00:04 AM,joannatang@umail.ucsb.edu_ucsb,0,0
126,3850b3ff-9b99-4920-845d-7b884ee176f9,1/26/2019 12:00:00 AM,north_parcel,,Catherine Reilly,9,13,8.22,85.2,674,0.4,17.1,Opaque,re-entered from Hydro + YSI survey,5/22/2019 4:01:12 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:01:12 AM,joannatang@umail.ucsb.edu_ucsb,0,0
127,a426c292-04b2-4975-80bd-d82a8d6bc58d,1/26/2019 12:00:00 AM,north_parcel,,Catherine Reilly,19,12,8.07,81.4,563,0.3,15.7,,re-entered from Hydro + YSI survey,5/22/2019 4:02:23 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:02:23 AM,joannatang@umail.ucsb.edu_ucsb,0,0
128,2446b302-6384-4ada-8993-376b19a4d506,1/26/2019 12:00:00 AM,north_parcel,,Catherine Reilly,16,15.5,5.7,59.8,288.4,0.2,17.7,,re-entered from Hydro + YSI survey,5/22/2019 4:03:25 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:03:25 AM,joannatang@umail.ucsb.edu_ucsb,0,0
129,b6b6a5e5-c15b-43f0-869f-56b16da222ad,1/26/2019 12:00:00 AM,north_parcel,,Catherine Reilly,PH1,13,3.73,38.4,1156,0.7,16.6,Not opaque,re-entered from Hydro + YSI survey,5/22/2019 4:04:23 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:04:23 AM,joannatang@umail.ucsb.edu_ucsb,0,0
130,52f4f03d-2439-4a99-80e7-330378f0bfc5,1/26/2019 12:00:00 AM,north_parcel,,Catherine Reilly,14,13,5.06,50.2,255.8,0.2,15.1,,re-entered from Hydro + YSI survey,5/22/2019 4:05:03 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:05:03 AM,joannatang@umail.ucsb.edu_ucsb,0,0
131,cb3b41e3-9b3f-44ca-8e0a-3aabc89f81bb,1/26/2019 12:00:00 AM,north_parcel,,Joanna Tang,3,12,6.61,68.6,235.5,0.1,17.1,,re-entered from Hydro + YSI survey,5/22/2019 4:05:50 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:05:50 AM,joannatang@umail.ucsb.edu_ucsb,0,0
132,cf825ee6-d2a8-4dbb-8622-651f9f78f6df,1/26/2019 12:00:00 AM,north_parcel,,Catherine Reilly,4,8,8.37,90.6,282.2,0.2,19.2,,re-entered from Hydro + YSI survey,5/22/2019 4:06:34 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:06:34 AM,joannatang@umail.ucsb.edu_ucsb,0,0
133,ff6794a7-2ee8-4f61-8369-251e94737942,1/26/2019 12:00:00 AM,north_parcel,,Catherine Reilly,6,12,7.47,80,180.9,0.1,18.6,,re-entered from Hydro + YSI survey,5/22/2019 4:07:16 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:07:16 AM,joannatang@umail.ucsb.edu_ucsb,0,0
134,5d1db956-0729-40f9-8412-107dd81efeeb,1/26/2019 12:00:00 AM,north_parcel,,Catherine Reilly,7,17.75,8.73,91.3,124.8,0.1,17.5,,re-entered from Hydro + YSI survey,5/22/2019 4:08:03 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:08:03 AM,joannatang@umail.ucsb.edu_ucsb,0,0
135,e89e9471-7807-48b8-8077-aa33b4eb3ab1,1/26/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,5,4.5,7.82,77.7,71.6,0,15.1,,re-entered from Hydro + YSI survey,5/22/2019 4:08:48 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:08:48 AM,joannatang@umail.ucsb.edu_ucsb,0,0
136,7f6f5fb7-10e3-4010-8746-faa75d719e49,1/26/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,4,4.25,8.92,901,79.5,0,15.9,,re-entered from Hydro + YSI survey,5/22/2019 4:09:30 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:09:30 AM,joannatang@umail.ucsb.edu_ucsb,0,0
137,fd46c26b-8cf8-4206-8bd9-c9ecb202ecd3,1/26/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,3,4.5,10.7,101.9,74.3,0,15.5,,re-entered from Hydro + YSI survey,5/22/2019 4:10:07 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:10:07 AM,joannatang@umail.ucsb.edu_ucsb,0,0
138,6d78de8b-6054-46e7-8e3e-47fbc1c123ec,1/26/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,7,7.25,5.91,58.6,71.8,0,14.9,,re-entered from Hydro + YSI survey,5/22/2019 4:11:43 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:11:43 AM,joannatang@umail.ucsb.edu_ucsb,0,0
139,a2c685f0-78a7-4183-8df4-ef9b17968168,1/26/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,2,9.5,7.13,69.7,80.9,0.1,14.3,,re-entered from Hydro + YSI survey,5/22/2019 4:12:31 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:12:31 AM,joannatang@umail.ucsb.edu_ucsb,0,0
140,9cd823ed-424a-4601-8b69-e204fabce1fc,1/26/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,6,7.25,7.58,71.8,94.1,0.1,12.9,,re-entered from Hydro + YSI survey,5/22/2019 4:13:09 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:13:09 AM,joannatang@umail.ucsb.edu_ucsb,0,0
141,b4a70b17-8946-446b-8d37-582066eb34a9,1/26/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,U,5.07,7.76,75.4,65.3,0,14,,re-entered from Hydro + YSI survey,5/22/2019 4:13:51 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:13:51 AM,joannatang@umail.ucsb.edu_ucsb,0,0
142,985250ab-f471-45d2-830a-047e94060a61,1/26/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,G,6,8.44,79.9,147.4,0.1,12.9,,re-entered from Hydro + YSI survey,5/22/2019 4:14:41 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:14:41 AM,joannatang@umail.ucsb.edu_ucsb,0,0
143,45adfba9-ccef-4f5d-86e5-aed968da39df,1/26/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,M,5.5,7.58,71.6,76.6,0,12.7,,re-entered from Hydro + YSI survey,5/22/2019 4:15:52 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:15:52 AM,joannatang@umail.ucsb.edu_ucsb,0,0
144,0afcedee-7bbf-4bdd-8a0f-60b7140c68ce,1/26/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,H,3,9.5,90.2,164.2,0.1,13,,re-entered from Hydro + YSI survey,5/22/2019 4:16:28 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:16:28 AM,joannatang@umail.ucsb.edu_ucsb,0,0
145,dea1f365-dafb-4c03-8f33-b6255fce3c19,1/26/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,S,1.25,11.01,111,165,0.1,15.8,,re-entered from Hydro + YSI survey,5/22/2019 4:17:10 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:17:10 AM,joannatang@umail.ucsb.edu_ucsb,0,0
146,3efecd9c-d891-450f-8db3-594c4e2e3bd7,1/26/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,F,4.75,7.15,66.7,157.3,0.1,12.2,,re-entered from Hydro + YSI survey,5/22/2019 4:17:47 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:17:47 AM,joannatang@umail.ucsb.edu_ucsb,0,0
147,badb025e-3165-4dd1-8533-d6bfabeffe9d,1/26/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,W,9.5,7.36,68.4,145.9,0.1,12,,re-entered from Hydro + YSI survey,5/22/2019 4:18:18 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:18:18 AM,joannatang@umail.ucsb.edu_ucsb,0,0
148,2e321a16-d08f-403b-89d7-5c0e7f29d71f,1/26/2019 12:00:00 AM,delsol_caminocorto,,Joanna Tang,E,5.5,6.9,64.4,135.5,0.1,12.3,,re-entered from Hydro + YSI survey,5/22/2019 4:19:07 AM,joannatang@umail.ucsb.edu_ucsb,5/22/2019 4:19:07 AM,joannatang@umail.ucsb.edu_ucsb,0,0
